Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

15,62	0,79	4,5	6,0	5,5
15,65	0,74	4,5	6,0	5,5
15,67	0,72	4,5	6,0	5,5
15,70	0,72	4,5	6,0	5,5
15,72	0,69	4,5	6,0	5,5
15,75	0,66	4,5	6,0	5,5
15,77	0,65	4,5	6,0	5,5
15,79	0,64	4,5	6,0	5,5
15,82	0,60	4,5	6,0	5,5
15,84	0,59	4,5	6,0	5,5
15,87	0,59	4,5	6,0	5,5
15,89	0,57	4,5	6,0	5,5
15,92	0,54	4,5	6,0	5,5
15,94	0,55	4,5	6,0	5,5
15,97	0,54	4,5	6,0	5,5
15,99	0,51	4,5	6,0	5,5
16,01	0,49	4,5	6,0	5,5
16,04	0,49	4,5	6,0	5,5
16,06	0,47	4,5	6,0	5,5
16,09	0,44	4,5	6,0	5,5
16,11	0,44	4,5	6,0	5,5
16,14	0,45	4,5	6,0	5,5
16,16	0,42	4,5	6,0	5,5
16,19	0,41	4,5	6,0	5,5
16,21	0,42	4,5	6,0	5,5
16,23	0,40	4,5	6,0	5,5
16,26	0,37	4,5	6,0	5,5
16,28	0,38	4,5	6,0	5,5
16,31	0,39	4,5	6,0	5,5
16,33	0,37	4,5	6,0	5,5
16,36	0,35	4,5	6,0	5,5
16,38	0,36	4,5	6,0	5,5
16,41	0,36	4,5	6,0	5,5
16,43	0,34	4,5	6,0	5,5
16,45	0,34	4,5	6,0	5,5
16,48	0,35	4,5	6,0	5,5
16,50	0,33	4,5	6,0	5,5
16,53	0,31	4,5	6,0	5,5
16,55	0,33	4,5	6,0	5,5
16,58	0,34	4,5	6,0	5,5
16,60	0,32	4,5	6,0	5,5
16,63	0,32	4,5	6,0	5,5
16,65	0,34	4,5	6,0	5,5
16,67	0,32	4,5	6,0	5,5
16,70	0,31	4,5	6,0	5,5
16,72	0,32	4,5	6,0	5,5
16,75	0,34	4,5	6,0	5,5
16,77	0,32	4,5	6,0	5,5
16,80	0,32	4,5	6,0	5,5
16,82	0,35	4,5	6,0	5,5
16,84	0,34	4,5	6,0	5,5
