Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

5,98	0,40	3,0	6,0	4,7
6,00	0,40	3,0	6,0	4,7
6,03	0,40	3,0	6,0	4,7
6,05	0,40	3,0	6,0	4,7
6,08	0,41	3,0	6,0	4,7
6,10	0,41	3,0	6,0	4,7
6,12	0,42	3,0	6,0	4,7
6,15	0,42	3,0	6,0	4,7
6,17	0,42	3,0	6,0	4,7
6,20	0,43	3,0	6,0	4,7
6,22	0,43	3,0	6,0	4,7
6,25	0,42	3,0	6,0	4,7
6,27	0,42	3,0	6,0	4,7
6,30	0,41	3,0	6,0	4,7
6,32	0,41	3,0	6,0	4,7
6,34	0,41	3,0	6,0	4,7
6,37	0,42	3,0	6,0	4,7
6,39	0,42	3,0	6,0	4,7
6,42	0,42	3,0	6,0	4,7
6,44	0,42	3,0	6,0	4,7
6,47	0,43	3,0	6,0	4,7
6,49	0,44	3,0	6,0	4,7
6,52	0,45	3,0	6,0	4,7
6,54	0,45	3,0	6,0	4,7
6,56	0,45	3,0	6,0	4,7
6,59	0,45	3,0	6,0	4,7
6,61	0,45	3,0	6,0	4,7
6,64	0,46	3,0	6,0	4,7
6,66	0,46	3,0	6,0	4,7
6,69	0,45	3,0	6,0	4,7
6,71	0,45	3,0	6,0	4,7
6,73	0,44	3,0	6,0	4,7
6,76	0,44	3,0	6,0	4,7
6,78	0,44	3,0	6,0	4,7
6,81	0,45	3,0	6,0	4,7
6,83	0,45	3,0	6,0	4,7
6,86	0,45	3,0	6,0	4,7
6,88	0,45	3,0	6,0	4,7
6,91	0,46	3,0	6,0	4,7
6,93	0,45	3,0	6,0	4,7
6,95	0,46	3,0	6,0	4,7
6,98	0,46	3,0	6,0	4,7
7,00	0,46	3,0	6,0	4,7
7,03	0,44	3,0	6,0	4,7
7,05	0,45	3,0	6,0	4,7
7,08	0,46	3,0	6,0	4,7
7,10	0,46	3,0	6,0	4,7
7,13	0,45	3,0	6,0	4,7
7,15	0,45	3,0	6,0	4,7
7,17	0,45	3,0	6,0	4,7
7,20	0,44	3,0	6,0	4,7
7,22	0,45	3,0	6,0	4,7
7,25	0,46	3,0	6,0	4,7
7,27	0,45	3,0	6,0	4,7
7,30	0,45	3,0	6,0	4,7
7,32	0,45	3,0	6,0	4,7
7,35	0,46	3,0	6,0	4,7
7,37	0,46	3,0	6,0	4,7
7,39	0,46	3,0	6,0	4,7
7,42	0,46	3,0	6,0	4,7
7,44	0,46	3,0	6,0	4,7
7,47	0,45	3,0	6,0	4,7
7,49	0,46	3,0	6,0	4,7
7,52	0,46	3,0	6,0	4,7
7,54	0,46	3,0	6,0	4,7
7,57	0,45	3,0	6,0	4,7
7,59	0,46	3,0	6,0	4,7
7,61	0,46	3,0	6,0	4,7
7,64	0,46	3,0	6,0	4,7
7,66	0,47	3,0	6,0	4,7
