Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

6,93	0,35	4,5	6,0	5,0
6,95	0,35	4,5	6,0	5,0
6,98	0,35	4,5	6,0	5,0
7,00	0,35	4,5	6,0	5,0
7,03	0,34	4,5	6,0	5,0
7,05	0,34	4,5	6,0	5,0
7,08	0,35	4,5	6,0	5,0
7,10	0,36	4,5	6,0	5,0
7,13	0,35	4,5	6,0	5,0
7,15	0,35	4,5	6,0	5,0
7,17	0,35	4,5	6,0	5,0
7,20	0,35	4,5	6,0	5,0
7,22	0,36	4,5	6,0	5,0
7,25	0,36	4,5	6,0	5,0
7,27	0,36	4,5	6,0	5,0
7,30	0,36	4,5	6,0	5,0
7,32	0,36	4,5	6,0	5,0
7,35	0,37	4,5	6,0	5,0
7,37	0,37	4,5	6,0	5,0
7,39	0,37	4,5	6,0	5,0
7,42	0,37	4,5	6,0	5,0
7,44	0,36	4,5	6,0	5,0
7,47	0,36	4,5	6,0	5,0
7,49	0,36	4,5	6,0	5,0
7,52	0,37	4,5	6,0	5,0
7,54	0,37	4,5	6,0	5,0
7,57	0,36	4,5	6,0	5,0
7,59	0,36	4,5	6,0	5,0
7,61	0,36	4,5	6,0	5,0
7,64	0,37	4,5	6,0	5,0
7,66	0,37	4,5	6,0	5,0
7,69	0,38	4,5	6,0	5,0
7,71	0,37	4,5	6,0	5,0
7,74	0,37	4,5	6,0	5,0
7,76	0,38	4,5	6,0	5,0
7,78	0,37	4,5	6,0	5,0
7,81	0,38	4,5	6,0	5,0
7,83	0,38	4,5	6,0	5,0
7,86	0,38	4,5	6,0	5,0
7,88	0,38	4,5	6,0	5,0
7,91	0,38	4,5	6,0	5,0
7,93	0,39	4,5	6,0	5,0
7,96	0,39	4,5	6,0	5,0
7,98	0,38	4,5	6,0	5,0
8,00	0,39	4,5	6,0	5,0
8,03	0,38	4,5	6,0	5,0
8,05	0,39	4,5	6,0	5,0
8,08	0,39	4,5	6,0	5,0
8,10	0,40	4,5	6,0	5,0
8,13	0,40	4,5	6,0	5,0
8,15	0,40	4,5	6,0	5,0
8,18	0,40	4,5	6,0	5,0
8,20	0,40	4,5	6,0	5,0
8,22	0,40	4,5	6,0	5,0
8,25	0,41	4,5	6,0	5,0
8,27	0,41	4,5	6,0	5,0
8,30	0,41	4,5	6,0	5,0
8,32	0,40	4,5	6,0	5,0
8,35	0,41	4,5	6,0	5,0
8,37	0,41	4,5	6,0	5,0
8,40	0,42	4,5	6,0	5,0
8,42	0,40	4,5	6,0	5,0
8,44	0,40	4,5	6,0	5,0
8,47	0,40	4,5	6,0	5,0
8,49	0,40	4,5	6,0	5,0
8,52	0,41	4,5	6,0	5,0
8,54	0,42	4,5	6,0	5,0
8,57	0,42	4,5	6,0	5,0
8,59	0,40	4,5	6,0	5,0
8,62	0,41	4,5	6,0	5,0
8,64	0,42	4,5	6,0	5,0
8,66	0,41	4,5	6,0	5,0
8,69	0,42	4,5	6,0	5,0
8,71	0,41	4,5	6,0	5,0
8,74	0,41	4,5	6,0	5,0
8,76	0,41	4,5	6,0	5,0
8,79	0,41	4,5	6,0	5,0
8,81	0,42	4,5	6,0	5,0
8,84	0,41	4,5	6,0	5,0
8,86	0,41	4,5	6,0	5,0
8,88	0,41	4,5	6,0	5,0
8,91	0,41	4,5	6,0	5,0
8,93	0,42	4,5	6,0	5,0
8,96	0,42	4,5	6,0	5,0
8,98	0,43	4,5	6,0	5,0
9,01	0,42	4,5	6,0	5,0
9,03	0,43	4,5	6,0	5,0
9,05	0,42	4,5	6,0	5,0
9,08	0,43	4,5	6,0	5,0
9,10	0,43	4,5	6,0	5,0
9,13	0,43	4,5	6,0	5,0
9,15	0,42	4,5	6,0	5,0
9,18	0,42	4,5	6,0	5,0
9,20	0,42	4,5	6,0	5,0
9,23	0,43	4,5	6,0	5,0
9,25	0,43	4,5	6,0	5,0
9,27	0,42	4,5	6,0	5,0
9,30	0,42	4,5	6,0	5,0
9,32	0,43	4,5	6,0	5,0
9,35	0,43	4,5	6,0	5,0
9,37	0,44	4,5	6,0	5,0
9,40	0,44	4,5	6,0	5,0
9,42	0,45	4,5	6,0	5,0
9,45	0,44	4,5	6,0	5,0
9,47	0,44	4,5	6,0	5,0
9,49	0,45	4,5	6,0	5,0
9,52	0,44	4,5	6,0	5,0
9,54	0,44	4,5	6,0	5,0
9,57	0,44	4,5	6,0	5,0
9,59	0,43	4,5	6,0	5,0
9,62	0,44	4,5	6,0	5,0
9,64	0,44	4,5	6,0	5,0
9,67	0,45	4,5	6,0	5,0
9,69	0,44	4,5	6,0	5,0
9,71	0,44	4,5	6,0	5,0
9,74	0,44	4,5	6,0	5,0
9,76	0,44	4,5	6,0	5,0
9,79	0,44	4,5	6,0	5,0
9,81	0,45	4,5	6,0	5,0
9,84	0,45	4,5	6,0	5,0
9,86	0,45	4,5	6,0	5,0
9,89	0,45	4,5	6,0	5,0
9,91	0,45	4,5	6,0	5,0
9,93	0,46	4,5	6,0	5,0
9,96	0,46	4,5	6,0	5,0
9,98	0,45	4,5	6,0	5,0
10,01	0,45	4,5	6,0	5,0
10,03	0,45	4,5	6,0	5,0
10,06	0,45	4,5	6,0	5,0
10,08	0,45	4,5	6,0	5,0
10,10	0,46	4,5	6,0	5,0
10,13	0,46	4,5	6,0	5,0
10,15	0,45	4,5	6,0	5,0
10,18	0,45	4,5	6,0	5,0
10,20	0,46	4,5	6,0	5,0
10,23	0,46	4,5	6,0	5,0
10,25	0,47	4,5	6,0	5,0
10,28	0,47	4,5	6,0	5,0
10,30	0,47	4,5	6,0	5,0
10,32	0,46	4,5	6,0	5,0
10,35	0,47	4,5	6,0	5,0
10,37	0,48	4,5	6,0	5,0
10,40	0,47	4,5	6,0	5,0
10,42	0,47	4,5	6,0	5,0
10,45	0,47	4,5	6,0	5,0
10,47	0,48	4,5	6,0	5,0
10,50	0,48	4,5	6,0	5,0
10,52	0,49	4,5	6,0	5,0
10,54	0,49	4,5	6,0	5,0
10,57	0,48	4,5	6,0	5,0
10,59	0,48	4,5	6,0	5,0
10,62	0,48	4,5	6,0	5,0
10,64	0,49	4,5	6,0	5,0
10,67	0,49	4,5	6,0	5,0
10,69	0,49	4,5	6,0	5,0
10,72	0,49	4,5	6,0	5,0
10,74	0,48	4,5	6,0	5,0
10,76	0,49	4,5	6,0	5,0
10,79	0,49	4,5	6,0	5,0
10,81	0,50	4,5	6,0	5,0
10,84	0,49	4,5	6,0	5,0
10,86	0,49	4,5	6,0	5,0
10,89	0,49	4,5	6,0	5,0
10,91	0,49	4,5	6,0	5,0
10,94	0,49	4,5	6,0	5,0
10,96	0,50	4,5	6,0	5,0
10,98	0,50	4,5	6,0	5,0
11,01	0,49	4,5	6,0	5,0
11,03	0,49	4,5	6,0	5,0
11,06	0,50	4,5	6,0	5,0
11,08	0,49	4,5	6,0	5,0
11,11	0,50	4,5	6,0	5,0
11,13	0,50	4,5	6,0	5,0
11,15	0,49	4,5	6,0	5,0
11,18	0,49	4,5	6,0	5,0
11,20	0,49	4,5	6,0	5,0
11,23	0,50	4,5	6,0	5,0
11,25	0,50	4,5	6,0	5,0
11,28	0,49	4,5	6,0	5,0
11,30	0,49	4,5	6,0	5,0
11,33	0,49	4,5	6,0	5,0
11,35	0,50	4,5	6,0	5,0
11,37	0,50	4,5	6,0	5,0
11,40	0,51	4,5	6,0	5,0
11,42	0,50	4,5	6,0	5,0
11,45	0,50	4,5	6,0	5,0
11,47	0,50	4,5	6,0	5,0
11,50	0,51	4,5	6,0	5,0
11,52	0,50	4,5	6,0	5,0
11,55	0,51	4,5	6,0	5,0
11,57	0,50	4,5	6,0	5,0
11,59	0,50	4,5	6,0	5,0
11,62	0,50	4,5	6,0	5,0
11,64	0,50	4,5	6,0	5,0
11,67	0,51	4,5	6,0	5,0
11,69	0,51	4,5	6,0	5,0
11,72	0,49	4,5	6,0	5,0
11,74	0,50	4,5	6,0	5,0
11,77	0,50	4,5	6,0	5,0
11,79	0,51	4,5	6,0	5,0
11,81	0,51	4,5	6,0	5,0
11,84	0,52	4,5	6,0	5,0
11,86	0,52	4,5	6,0	5,0
11,89	0,51	4,5	6,0	5,0
11,91	0,51	4,5	6,0	5,0
11,94	0,52	4,5	6,0	5,0
11,96	0,52	4,5	6,0	5,0
11,99	0,52	4,5	6,0	5,0
12,01	0,51	4,5	6,0	5,0
12,03	0,52	4,5	6,0	5,0
12,06	0,51	4,5	6,0	5,0
12,08	0,52	4,5	6,0	5,0
12,11	0,53	4,5	6,0	5,0
12,13	0,52	4,5	6,0	5,0
12,16	0,52	4,5	6,0	5,0
12,18	0,52	4,5	6,0	5,0
12,21	0,52	4,5	6,0	5,0
12,23	0,53	4,5	6,0	5,0
12,25	0,53	4,5	6,0	5,0
12,28	0,54	4,5	6,0	5,0
12,30	0,53	4,5	6,0	5,0
12,33	0,53	4,5	6,0	5,0
12,35	0,53	4,5	6,0	5,0
12,38	0,53	4,5	6,0	5,0
12,40	0,53	4,5	6,0	5,0
12,42	0,53	4,5	6,0	5,0
12,45	0,52	4,5	6,0	5,0
12,47	0,52	4,5	6,0	5,0
12,50	0,52	4,5	6,0	5,0
12,52	0,53	4,5	6,0	5,0
12,55	0,53	4,5	6,0	5,0
12,57	0,52	4,5	6,0	5,0
12,60	0,52	4,5	6,0	5,0
12,62	0,53	4,5	6,0	5,0
12,64	0,53	4,5	6,0	5,0
12,67	0,54	4,5	6,0	5,0
12,69	0,54	4,5	6,0	5,0
12,72	0,54	4,5	6,0	5,0
12,74	0,54	4,5	6,0	5,0
12,77	0,54	4,5	6,0	5,0
12,79	0,55	4,5	6,0	5,0
12,82	0,54	4,5	6,0	5,0
12,84	0,54	4,5	6,0	5,0
12,86	0,54	4,5	6,0	5,0
12,89	0,54	4,5	6,0	5,0
12,91	0,54	4,5	6,0	5,0
12,94	0,54	4,5	6,0	5,0
12,96	0,55	4,5	6,0	5,0
12,99	0,54	4,5	6,0	5,0
13,01	0,54	4,5	6,0	5,0
13,04	0,54	4,5	6,0	5,0
13,06	0,55	4,5	6,0	5,0
13,08	0,55	4,5	6,0	5,0
13,11	0,55	4,5	6,0	5,0
13,13	0,55	4,5	6,0	5,0
13,16	0,54	4,5	6,0	5,0
13,18	0,54	4,5	6,0	5,0
13,21	0,54	4,5	6,0	5,0
13,23	0,54	4,5	6,0	5,0
13,26	0,54	4,5	6,0	5,0
13,28	0,53	4,5	6,0	5,0
13,30	0,53	4,5	6,0	5,0
13,33	0,53	4,5	6,0	5,0
13,35	0,52	4,5	6,0	5,0
13,38	0,52	4,5	6,0	5,0
13,40	0,53	4,5	6,0	5,0
13,43	0,52	4,5	6,0	5,0
13,45	0,50	4,5	6,0	5,0
13,47	0,50	4,5	6,0	5,0
13,50	0,51	4,5	6,0	5,0
13,52	0,51	4,5	6,0	5,0
13,55	0,50	4,5	6,0	5,0
13,57	0,50	4,5	6,0	5,0
13,60	0,49	4,5	6,0	5,0
13,62	0,48	4,5	6,0	5,0
13,65	0,48	4,5	6,0	5,0
13,67	0,48	4,5	6,0	5,0
13,69	0,47	4,5	6,0	5,0
13,72	0,46	4,5	6,0	5,0
13,74	0,46	4,5	6,0	5,0
13,77	0,45	4,5	6,0	5,0
13,79	0,45	4,5	6,0	5,0
13,82	0,45	4,5	6,0	5,0
13,84	0,45	4,5	6,0	5,0
13,87	0,43	4,5	6,0	5,0
13,89	0,43	4,5	6,0	5,0
13,91	0,42	4,5	6,0	5,0
13,94	0,42	4,5	6,0	5,0
13,96	0,42	4,5	6,0	5,0
13,99	0,41	4,5	6,0	5,0
14,01	0,41	4,5	6,0	5,0
14,04	0,40	4,5	6,0	5,0
14,06	0,39	4,5	6,0	5,0
14,09	0,39	4,5	6,0	5,0
14,11	0,38	4,5	6,0	5,0
14,13	0,37	4,5	6,0	5,0
14,16	0,37	4,5	6,0	5,0
14,18	0,36	4,5	6,0	5,0
14,21	0,36	4,5	6,0	5,0
14,23	0,36	4,5	6,0	5,0
14,26	0,36	4,5	6,0	5,0
14,28	0,35	4,5	6,0	5,0
14,31	0,34	4,5	6,0	5,0
14,33	0,33	4,5	6,0	5,0
14,35	0,34	4,5	6,0	5,0
14,38	0,33	4,5	6,0	5,0
14,40	0,34	4,5	6,0	5,0
14,43	0,32	4,5	6,0	5,0
14,45	0,32	4,5	6,0	5,0
14,48	0,31	4,5	6,0	5,0
14,50	0,30	4,5	6,0	5,0
14,52	0,31	4,5	6,0	5,0
14,55	0,29	4,5	6,0	5,0
14,57	0,28	4,5	6,0	5,0
14,60	0,28	4,5	6,0	5,0
14,62	0,27	4,5	6,0	5,0
14,65	0,27	4,5	6,0	5,0
14,67	0,27	4,5	6,0	5,0
14,70	0,28	4,5	6,0	5,0
14,72	0,27	4,5	6,0	5,0
14,74	0,26	4,5	6,0	5,0
14,77	0,25	4,5	6,0	5,0
14,79	0,25	4,5	6,0	5,0
14,82	0,25	4,5	6,0	5,0
14,84	0,25	4,5	6,0	5,0
14,87	0,23	4,5	6,0	5,0
